class,Max_Ecio,Min_Ecio,Std_Ecio,Max_Rscp,Std_Rscp
no,-25.000000,-25.000000, 0.000000,-74.000000, 3.567342
no,-25.000000,-25.000000, 0.000000,-77.000000, 3.175559
no,-25.000000,-25.000000, 0.000000,-74.000000, 3.822228
no,-25.000000,-25.000000, 0.000000,-74.000000, 3.195162
yes,-25.000000,-25.000000, 0.000000,-74.000000, 3.117071
yes,-25.000000,-25.000000, 0.000000,-76.000000, 2.998207
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.743886
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.475815
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.737172
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.936806
yes,-25.000000,-25.000000, 0.000000,-74.000000, 3.652386
yes,-25.000000,-25.000000, 0.000000,-72.000000, 3.406888
yes,-25.000000,-25.000000, 0.000000,-71.000000, 3.517023
yes,-25.000000,-25.000000, 0.000000,-71.000000, 3.398404
yes,-25.000000,-25.000000, 0.000000,-71.000000, 3.267024
yes,-25.000000,-25.000000, 0.000000,-74.000000, 2.803181
no,-25.000000,-25.000000, 0.000000,-76.000000, 2.963547
yes,-25.000000,-25.000000, 0.000000,-74.000000, 3.402488
yes,-25.000000,-25.000000, 0.000000,-74.000000, 3.392622
yes,-25.000000,-25.000000, 0.000000,-74.000000, 3.116953
yes,-25.000000,-25.000000, 0.000000,-72.000000, 2.845178
yes,-25.000000,-25.000000, 0.000000,-72.000000, 2.790664
yes,-25.000000,-25.000000, 0.000000,-72.000000, 2.713283
yes,-25.000000,-25.000000, 0.000000,-82.000000, 0.000000
yes,-25.000000,-25.000000, 0.000000,-71.000000, 5.108816
